A,B,C,D,E,F,mean,std
0,1,1,0,0,0,20.096511999999997,0.3183603898979897
0,0,1,0,0,0,19.644356,0.40137788835958566
0,1,1,1,0,0,19.452353,0.3328597067699844
0,1,1,1,0,1,19.152442,0.33426024686761663
0,0,1,1,0,1,18.56667,0.4132053183346022
0,0,1,1,0,0,18.038965,0.5545530342311725
0,1,1,1,1,0,17.172499,0.35862533373842964
0,1,1,1,1,1,16.945374,0.3638060199117107
0,0,1,1,1,1,15.67852,0.4838418766497997
0,0,1,1,1,0,15.216391,0.5451808655107037
1,0,1,0,0,0,10.518118000000001,0.40264731723432606
1,0,1,1,0,1,9.603608,0.4114838688648681
1,0,1,1,0,0,9.520549,0.418041231936516
1,0,1,1,1,1,8.394566000000001,0.4478037289304322
1,0,1,1,1,0,7.992814,0.46681764684296156
0,1,0,0,0,0,6.948300000000001,0.8621524076403196
0,1,0,1,0,0,5.849626,0.9174980665505513
0,1,0,1,0,1,5.637364,0.8573765400942575
0,1,0,1,1,0,3.97796,0.9928517353562918
0,1,0,1,1,1,3.770816,0.9669027366514172
0,0,0,0,0,0,2.646846,1.0566332610153817
1,0,0,0,0,0,2.134068,0.8341562511760012
1,0,0,1,0,1,1.201512,0.912961165579347
0,0,0,1,0,1,0.979322,1.0985088221384478
1,0,0,1,0,0,0.792107,0.8985414556663481
0,0,0,1,0,0,-0.018161999999999998,1.2678197804719724
1,0,0,1,1,1,-0.038452,1.0292834768400783
1,0,0,1,1,0,-0.699609,1.0113981056532586
0,0,0,1,1,1,-1.2952139999999999,1.1765284094334483
0,0,0,1,1,0,-2.022528,1.2904332385737747
1,1,0,1,1,1,-29.186716,0.27992480301681016
1,1,0,0,0,0,-29.196148,0.29773665225497514
1,1,1,1,1,0,-29.197246,0.28204890973730073
1,1,1,0,0,0,-29.199028,0.27127205387949566
1,1,1,1,1,1,-29.200504000000002,0.2844394241029186
1,1,1,1,0,1,-29.20198,0.28257127879528027
1,1,0,1,0,0,-29.204482,0.27590600514668034
1,1,0,1,0,1,-29.2054,0.2923357384925764
1,1,1,1,0,0,-29.2063,0.28849204841728304
1,1,0,1,1,0,-29.20693,0.27182906963752057
