A,B,C,D,E,F,mean,std
0,1,1,0,0,0,18.065358,0.46663809514012033
0,1,1,1,0,0,17.371762999999998,0.4629692201766766
0,1,1,1,0,1,16.955858,0.4594564961299383
0,0,1,0,0,0,16.375492,0.4914877474932616
0,1,1,1,1,0,16.35582,0.44783381694552726
0,1,1,1,1,1,16.067193,0.4694926876438013
1,0,1,0,0,0,15.871196,0.44690314116595775
0,0,1,1,0,1,14.699598,0.5295701675849953
1,0,1,1,0,1,14.115587999999999,0.4718716841006673
1,0,1,1,0,0,14.011627,0.463795139982083
1,0,1,1,1,1,13.872487,0.46724157759236284
0,0,1,1,1,1,13.6415,0.5282616681153385
1,0,1,1,1,0,13.5885,0.48518022012443995
0,0,1,1,1,0,13.167066,0.508449599905438
0,0,1,1,0,0,12.521039,0.6428929098061357
0,1,0,0,0,0,-4.935926,1.0922785315678414
0,1,0,1,1,0,-6.59134,1.135753468143505
0,1,0,1,1,1,-6.84929,1.1730560190800778
1,0,0,0,0,0,-7.224844,1.2734039294991986
0,1,0,1,0,0,-8.098369,1.184102185133952
0,1,0,1,0,1,-8.416727999999999,1.2420583134523113
1,0,0,1,0,1,-8.810226,1.3314450529120607
1,0,0,1,1,1,-9.030209999999999,1.3766991217764324
1,0,0,1,0,0,-11.481373,1.4603122268443143
1,0,0,1,1,0,-11.781559999999999,1.507429360998385
0,0,0,0,0,0,-15.390768,1.242608325328621
0,0,0,1,1,1,-18.024722,1.330910146747706
0,0,0,1,0,1,-20.664996,1.460093903823997
0,0,0,1,1,0,-22.208412,1.531828378851887
1,1,1,0,0,0,-23.838788,0.1741581208442489
1,1,1,1,0,1,-23.839744,0.17374958550741926
1,1,0,0,0,0,-23.84213,0.17085276439086375
1,1,0,1,1,0,-23.842508000000002,0.17279341982841825
1,1,1,1,0,0,-23.84297,0.17563511921025363
1,1,0,1,0,0,-23.843328,0.1673580724554391
1,1,0,1,1,1,-23.843696,0.1765104744314059
1,1,1,1,1,0,-23.845468,0.16527036327182196
1,1,1,1,1,1,-23.845996,0.18197876794835158
1,1,0,1,0,1,-23.849288,0.16338444557545864
0,0,0,1,0,0,-27.43077,1.8579509291421021
