A,B,C,D,E,F,mean,std
0,0,1,0,0,0,20.295305,0.3600866645336925
0,1,1,0,0,0,18.777352999999998,0.3298853109657961
1,0,1,0,0,0,18.515252,0.32485178850669727
0,0,1,1,0,1,18.446652999999998,0.44688989537804497
0,1,1,1,0,0,18.258266,0.3037365951675893
0,0,1,1,1,1,17.86618,0.45248100026409954
0,0,1,1,1,0,17.835398,0.4398643195304661
0,0,1,1,0,0,17.691153999999997,0.535747825272301
0,1,1,1,0,1,17.587633999999998,0.32945800042494033
0,1,1,1,1,0,17.578753,0.3276558133026179
1,0,1,1,0,0,17.361743999999998,0.3513761836892193
1,0,1,1,0,1,17.155103,0.36383609275469087
0,1,1,1,1,1,17.078109,0.3213566509643141
1,0,1,1,1,0,16.895093,0.37116481830987164
1,0,1,1,1,1,16.828341,0.3842693491797127
0,1,0,0,0,0,10.886548000000001,0.7393870459346714
1,0,0,0,0,0,10.617784,0.883293102737704
0,1,0,1,0,0,10.278018,0.764498989977096
0,1,0,1,1,0,9.774310999999999,0.8160852457182399
0,1,0,1,0,1,9.644946,0.8138699239337942
1,0,0,1,0,0,9.461110000000001,0.9993526224011223
1,0,0,1,0,1,9.316012,0.9944617075865717
0,1,0,1,1,1,9.290634,0.8411064154100835
1,0,0,1,1,0,8.969312,1.012046587196459
1,0,0,1,1,1,8.926950000000001,1.0114632002697874
0,0,0,0,0,0,7.9232380000000004,1.0091192195949892
0,0,0,1,0,1,6.107895999999999,1.112572851180542
0,0,0,1,1,1,5.532242,1.0951362077093425
0,0,0,1,1,0,5.494459,1.1332172643932847
0,0,0,1,0,0,4.863106,1.2099299296917982
1,1,0,1,0,0,-26.8792,0.12936450827023618
1,1,1,1,1,0,-26.881248,0.12391775698421917
1,1,1,0,0,0,-26.882514,0.13012985746553324
1,1,0,1,0,1,-26.882624,0.12867659703302695
1,1,0,1,1,1,-26.883456,0.12749578841671594
1,1,1,1,1,1,-26.883578,0.12660000756714038
1,1,1,1,0,1,-26.885114,0.12789352995362982
1,1,1,1,0,0,-26.885322,0.12435597418700879
1,1,0,0,0,0,-26.88657,0.1256133715016041
1,1,0,1,1,0,-26.887372,0.12067449447169853
