A,B,C,D,E,F,mean,std
0,0,1,0,0,0,20.281471,0.3775711497969621
0,1,1,0,0,0,18.768062,0.3271532976388898
1,0,1,0,0,0,18.524005000000002,0.3308430881475386
0,0,1,1,0,1,18.435538,0.455136487831947
0,1,1,1,0,0,18.249628,0.31789847060972154
0,0,1,1,1,0,17.857560000000003,0.44555248220608085
0,0,1,1,1,1,17.844044999999998,0.45550900427433927
0,0,1,1,0,0,17.642058000000002,0.539761434928432
0,1,1,1,1,0,17.596942,0.3234732889065185
0,1,1,1,0,1,17.586772,0.32063848804533746
1,0,1,1,0,0,17.343398,0.344304565168689
1,0,1,1,0,1,17.164732,0.36980480821103445
0,1,1,1,1,1,17.071067,0.34044939493410764
1,0,1,1,1,0,16.917173,0.36355455033735995
1,0,1,1,1,1,16.80698,0.3904445742996053
0,1,0,0,0,0,6.85763,1.037826850250079
1,0,0,0,0,0,6.528586000000001,1.1335403956648393
0,1,0,1,1,0,5.637269,1.0494376754429011
1,0,0,1,0,1,5.2541139999999995,1.219457042705482
0,1,0,1,1,1,5.094524000000001,1.085287492521682
0,1,0,1,0,0,5.055044,1.1313999302032858
1,0,0,1,1,1,4.9260600000000005,1.225825679450386
0,1,0,1,0,1,4.45505,1.1606917719618761
1,0,0,1,0,0,4.195308,1.304327919327038
1,0,0,1,1,0,3.747051,1.3171074126277629
0,0,0,0,0,0,2.1141680000000003,1.2940012286609315
0,0,0,1,1,1,-0.326692,1.3701090851227868
0,0,0,1,0,1,-1.4443920000000001,1.4807924170308275
0,0,0,1,1,0,-1.989864,1.5270358199806577
0,0,0,1,0,0,-5.403429,1.739196699329607
1,1,0,0,0,0,-26.876406,0.13296080311129294
1,1,1,0,0,0,-26.881408,0.132833947227356
1,1,0,1,0,0,-26.882133999999997,0.13029088242851072
1,1,0,1,1,0,-26.882687999999998,0.1321936104961204
1,1,1,1,1,0,-26.882972000000002,0.12924943023472096
1,1,1,1,0,0,-26.883046,0.12357801537490395
1,1,0,1,1,1,-26.883362,0.13149380577046205
1,1,1,1,1,1,-26.885756,0.12621665684052957
1,1,0,1,0,1,-26.886054,0.12655898657938125
1,1,1,1,0,1,-26.889126,0.12420795515585949
